✔,Avión,Trabajo,Cliente,Posición,Fecha ES,Fecha LF,Inicio real,Fin real,Dur Est.(d),Dur Real(d),Retraso(d),Holgura a ES(d),Holgura a LF(d)
OK,1,1-1,1,position5,2024-11-17,2025-06-21,2025-01-07,2025-01-12,5.33,5.329999999999998,0.0,51.12999999991446,159.97000000008555
OK,1,1-2,1,position5,2024-11-17,2025-06-21,2025-01-12,2025-01-17,5.28,5.280000000000001,0.0,56.45999999989493,154.64000000010506
OK,1,1-3,1,position5,2024-11-17,2025-06-23,2025-01-17,2025-01-25,7.3,7.299999999999997,0.0,61.7399999998551,149.3600000001449
OK,2,2-1,2,position2,2024-11-17,2025-06-19,2025-01-26,2025-01-30,3.37,3.369999999995045,0.0,70.85,140.25000000000495
OK,3,3-1,3,position1,2024-11-17,2025-06-22,2024-12-02,2024-12-08,6.09,6.09,0.0,15.819999999996899,195.2800000000031
OK,4,4-1,4,position4,2024-11-17,2025-06-25,2025-02-01,2025-02-11,9.79,9.789999999999992,0.0,76.8799999998551,134.2200000001449
OK,4,4-2,4,position4,2024-11-17,2025-06-26,2025-02-11,2025-02-21,9.91,9.909999999999997,0.0,86.6699999998551,124.4300000001449
OK,5,5-1,5,position3,2024-11-17,2025-06-25,2025-03-20,2025-03-29,9.53,9.530000000000001,0.0,123.15999999985527,87.94000000014472
OK,5,5-2,5,position3,2024-11-17,2025-06-23,2025-03-29,2025-04-06,7.89,7.889999999999986,0.0,132.68999999985527,78.41000000014472
OK,6,6-1,6,position2,2024-11-17,2025-06-25,2024-12-09,2024-12-19,9.72,9.719999999998453,0.0,22.45,188.65000000000154
OK,6,6-2,6,position2,2024-11-17,2025-06-27,2024-12-19,2024-12-30,11.01,11.009999999999998,0.0,32.169999999998076,178.9300000000019
OK,7,7-1,1,position5,2024-11-17,2025-06-25,2024-12-10,2024-12-19,9.22,9.219999999999999,0.0,23.119999999966495,187.9800000000335
OK,7,7-2,1,position5,2024-11-17,2025-06-24,2024-12-19,2024-12-27,7.91,7.910000000041748,0.0,32.33999999995825,178.76
OK,7,7-3,1,position5,2024-11-17,2025-06-26,2024-12-27,2025-01-07,10.88,10.879999999943578,0.0,40.25,170.8500000000564
OK,8,8-1,2,position2,2024-11-17,2025-06-22,2024-11-17,2024-11-23,6.33,6.329999999999956,0.0,0.0,211.10000000000005
OK,8,8-2,2,position2,2024-11-17,2025-06-23,2024-11-23,2024-11-30,7.4,7.4,0.0,6.329999999999956,204.77000000000004
OK,8,8-3,2,position2,2024-11-17,2025-06-24,2024-11-30,2024-12-09,8.72,8.720000000000097,0.0,13.729999999999903,197.37
OK,9,9-1,3,position1,2024-11-17,2025-06-20,2024-11-17,2024-11-21,4.72,4.719999999999942,0.0,0.0,211.10000000000005
OK,9,9-2,3,position1,2024-11-17,2025-06-24,2024-12-08,2024-12-17,8.72,8.719999999999999,0.0,21.90999999999491,189.19000000000509
OK,10,10-1,4,position4,2024-11-17,2025-06-23,2025-01-25,2025-02-01,7.76,7.760000000000005,0.0,69.11999999985512,141.98000000014486
OK,11,11-1,5,position3,2024-11-17,2025-06-23,2025-03-04,2025-03-11,7.69,7.689999999999998,0.0,107.02999999985525,104.07000000014474
OK,11,11-2,5,position3,2024-11-17,2025-06-24,2025-03-11,2025-03-20,8.44,8.439999999999998,0.0,114.71999999985525,96.38000000014475
OK,12,12-1,6,position2,2024-11-17,2025-06-20,2025-02-24,2025-02-28,4.37,4.3700000000000045,0.0,99.33999999999516,111.76000000000484
OK,13,13-1,1,position5,2024-11-17,2025-06-22,2024-11-30,2024-12-06,6.28,6.280000000012485,0.0,13.319999999987516,197.78
OK,13,13-2,1,position5,2024-11-17,2025-06-19,2024-12-06,2024-12-10,3.52,3.519999999984428,0.0,19.6,191.50000000001558
OK,14,14-1,2,position2,2024-11-17,2025-06-23,2025-02-05,2025-02-13,7.84,7.840000000000003,0.0,80.58999999999513,130.51000000000488
OK,14,14-2,2,position2,2024-11-17,2025-06-27,2025-02-13,2025-02-24,10.91,10.909999999999997,0.0,88.4299999999951,122.67000000000489
OK,15,15-1,3,position1,2024-11-17,2025-06-27,2024-11-21,2024-12-02,11.1,11.1,0.0,4.71999999999897,206.38000000000102
OK,15,15-2,3,position1,2024-11-17,2025-06-27,2024-12-17,2024-12-28,11.11,11.11,0.0,30.62999999999211,180.47000000000787
OK,15,15-3,3,position1,2024-11-17,2025-06-22,2024-12-28,2025-01-04,6.27,6.269999999999996,0.0,41.73999999999178,169.36000000000823
OK,16,16-1,4,position4,2024-11-17,2025-06-19,2025-01-21,2025-01-24,3.07,3.069999999999993,0.0,65.88999999985512,145.21000000014487
OK,17,17-1,5,position3,2024-11-17,2025-06-26,2025-02-21,2025-03-04,10.37,10.370000000000005,0.0,96.65999999985513,114.44000000014486
OK,18,18-1,6,position2,2024-11-17,2025-06-22,2025-01-30,2025-02-05,6.37,6.3700000000000045,0.0,74.21999999999504,136.88000000000494
OK,19,19-1,1,position5,2024-11-17,2025-06-21,2024-11-17,2024-11-22,5.32,5.319999999999936,0.0,0.0,211.10000000000005
OK,19,19-2,1,position5,2024-11-17,2025-06-24,2024-11-22,2024-11-30,8.0,8.0,0.0,5.319999999999936,205.78000000000006
OK,20,20-1,2,position2,2024-11-17,2025-06-24,2024-12-30,2025-01-07,7.95,7.950000000000003,0.0,43.179999999995104,167.92000000000488
OK,20,20-2,2,position2,2024-11-17,2025-06-25,2025-01-07,2025-01-16,9.74,9.740000000000002,0.0,51.12999999999507,159.97000000000492
OK,20,20-3,2,position2,2024-11-17,2025-06-26,2025-01-16,2025-01-26,9.98,9.980000000004964,0.0,60.86999999999503,150.23
