Avión,Clientes,ES_plane,LF_plane,Primer Inicio,Fin,Trabajos,Posiciones,Movimientos(E/S)
1,1,2024-11-17,2025-06-23,2025-01-07,2025-01-25,"1-1,1-2,1-3",position5,6
2,2,2024-11-17,2025-06-19,2025-01-26,2025-01-30,2-1,position2,2
3,3,2024-11-17,2025-06-22,2024-12-02,2024-12-08,3-1,position1,2
4,4,2024-11-17,2025-06-26,2025-02-01,2025-02-21,"4-1,4-2",position4,4
5,5,2024-11-17,2025-06-25,2025-03-20,2025-04-06,"5-1,5-2",position3,4
6,6,2024-11-17,2025-06-27,2024-12-09,2024-12-30,"6-1,6-2",position2,4
7,1,2024-11-17,2025-06-26,2024-12-10,2025-01-07,"7-1,7-2,7-3",position5,6
8,2,2024-11-17,2025-06-24,2024-11-17,2024-12-09,"8-1,8-2,8-3",position2,6
9,3,2024-11-17,2025-06-24,2024-11-17,2024-12-17,"9-1,9-2",position1,4
10,4,2024-11-17,2025-06-23,2025-01-25,2025-02-01,10-1,position4,2
11,5,2024-11-17,2025-06-24,2025-03-04,2025-03-20,"11-1,11-2",position3,4
12,6,2024-11-17,2025-06-20,2025-02-24,2025-02-28,12-1,position2,2
13,1,2024-11-17,2025-06-22,2024-11-30,2024-12-10,"13-1,13-2",position5,4
14,2,2024-11-17,2025-06-27,2025-02-05,2025-02-24,"14-1,14-2",position2,4
15,3,2024-11-17,2025-06-27,2024-11-21,2025-01-04,"15-1,15-2,15-3",position1,6
16,4,2024-11-17,2025-06-19,2025-01-21,2025-01-24,16-1,position4,2
17,5,2024-11-17,2025-06-26,2025-02-21,2025-03-04,17-1,position3,2
18,6,2024-11-17,2025-06-22,2025-01-30,2025-02-05,18-1,position2,2
19,1,2024-11-17,2025-06-24,2024-11-17,2024-11-30,"19-1,19-2",position5,4
20,2,2024-11-17,2025-06-26,2024-12-30,2025-01-26,"20-1,20-2,20-3",position2,6
