scenario;mode;status;termination;solve_time_s;mipgap;best_bound;objective;Tmax;client_delay_sum;viol_C_sum;client_switches;positions_slack_used;switches_slot_sum;presence_sum;idle_sum;n_jobs;n_planes;n_clients;n_positions;H
scn_custom_many_tight_pl10.xlsx;soft12;ok;optimal;2.214;;;889.563;69.563;0.0;0.0;;;0.0;0.0;820.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;soft;ok;optimal;1.726;;;889.563;69.563;0.0;0.0;;;0.0;0.0;820.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;medium;ok;optimal;7.608;;;12.000.889.563;69.563;0.0;0.0;12.0;;0.0;0.0;820.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;hard;warning;infeasible;3.509;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25;10;6;5;71.587
scn_custom_many_tight_pl12.xlsx;soft12;ok;optimal;1.543;;;1.014.914;66.914;0.0;0.0;;;0.0;948.0;0.0;24;12;6;5;68.841
scn_custom_many_tight_pl12.xlsx;soft;ok;optimal;1.635;;;1.014.914;66.914;0.0;0.0;;;0.0;948.0;0.0;24;12;6;5;68.841
scn_custom_many_tight_pl12.xlsx;medium;ok;optimal;4.081;;;7.001.014.914;66.914;0.0;0.0;7.0;;0.0;0.0;948.0;24;12;6;5;68.841
scn_custom_many_tight_pl12.xlsx;hard;ok;optimal;3.2;;;87.001.014.914;66.914;0.0;0.0;7.0;4.0;0.0;0.0;948.0;24;12;6;5;68.841
scn_custom_many_tight_pl14.xlsx;soft12;ok;optimal;1.859;;;1.247.638;71.638;0.0;0.0;;;0.0;0.0;1176.0;25;14;6;5;73.891
scn_custom_many_tight_pl14.xlsx;soft;ok;optimal;2.005;;;1.247.638;71.638;0.0;0.0;;;0.0;0.0;1176.0;25;14;6;5;73.891
scn_custom_many_tight_pl14.xlsx;medium;ok;optimal;4.131;;;13.001.247.638;71.638;0.0;0.0;13.0;;0.0;0.0;1176.0;25;14;6;5;73.891
scn_custom_many_tight_pl14.xlsx;hard;warning;infeasible;2.858;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25;14;6;5;73.891
scn_custom_many_tight_pl16.xlsx;soft12;ok;optimal;3.547;;;1840.16;96.16;0.0;0.0;;;0.0;0.0;1744.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;soft;ok;optimal;3.137;;;1840.16;96.16;0.0;0.0;;;0.0;0.0;1744.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;medium;ok;optimal;14.135;;;21001840.16;96.16;0.0;0.0;21.0;;0.0;0.0;1744.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;hard;warning;infeasible;4.609;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33;16;6;5;98.223
scn_custom_many_tight_pl18.xlsx;soft12;ok;optimal;4.714;;;2.513.209;119.209;0.0;0.0;;;0.0;0.0;2394.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;soft;ok;optimal;4.609;;;2.513.209;119.209;0.0;0.0;;;0.0;0.0;2394.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;medium;ok;optimal;24.756;;;36.002.513.352;119.352;0.0;0.0;36.0;;0.0;0.0;2394.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;hard;warning;infeasible;6.863;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41;18;6;5;122.524
scn_custom_many_tight_pl20.xlsx;soft12;ok;optimal;3.527;;;21.286.440.000.000.000;88.644;0.0;0.0;;;0.0;0.0;2040.0;35;20;6;5;91.298
scn_custom_many_tight_pl20.xlsx;soft;ok;optimal;3.716;;;21.286.440.000.000.000;88.644;0.0;0.0;;;0.0;0.0;2040.0;35;20;6;5;91.298
scn_custom_many_tight_pl20.xlsx;medium;ok;optimal;20.199;;;23.002.128.644;88.644;0.0;0.0;23.0;;0.0;0.0;2040.0;35;20;6;5;91.298
scn_custom_many_tight_pl20.xlsx;hard;ok;optimal;6.422;;;112.002.129.301;8.930.099.999.999.990;0.0;0.0;32.0;4.0;0.0;0.0;2040.0;35;20;6;5;91.298
scn_few-loose_seed10_P3_pl5.xlsx;soft12;ok;optimal;0.688;;;417.573;37.573;0.0;0.0;;;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;soft;ok;optimal;0.704;;;417.573;37.573;0.0;0.0;;;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;medium;ok;optimal;0.858;;;423.15;43.15;0.0;0.0;0.0;;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;hard;ok;optimal;0.843;;;422.8;42.8;0.0;0.0;0.0;0.0;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed11_P3_pl5.xlsx;soft12;ok;optimal;0.464;;;356.554;3.655.399.999.999.990;0.0;0.0;;;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed11_P3_pl5.xlsx;soft;ok;optimal;0.441;;;356.554;3.655.399.999.999.990;0.0;0.0;;;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed11_P3_pl5.xlsx;medium;ok;optimal;0.438;;;356.554;3.655.399.999.999.990;0.0;0.0;0.0;;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed11_P3_pl5.xlsx;hard;ok;optimal;0.443;;;356.554;3.655.399.999.999.990;0.0;0.0;0.0;0.0;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed12_P3_pl5.xlsx;soft12;ok;optimal;0.359;;;295.36;25.36;0.0;0.0;;;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;soft;ok;optimal;0.364;;;295.36;25.36;0.0;0.0;;;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;medium;ok;optimal;0.347;;;295.36;25.36;0.0;0.0;0.0;;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;hard;ok;optimal;0.406;;;295.36;25.36;0.0;0.0;0.0;0.0;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed1_P3_pl5.xlsx;soft12;ok;optimal;0.547;;;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;;;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;soft;ok;optimal;0.54;;;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;;;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;medium;ok;optimal;0.614;;;4.019.709.999.999.990;4.197.099.999.999.970;0.0;0.0;0.0;;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;hard;ok;optimal;0.756;;;40.166.999.999.999.900;4.166.999.999.999.970;0.0;0.0;0.0;0.0;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed2_P3_pl5.xlsx;soft12;ok;optimal;0.607;;;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;;;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed2_P3_pl5.xlsx;soft;ok;optimal;0.729;;;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;;;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed2_P3_pl5.xlsx;medium;ok;optimal;0.973;;;41.407.999.999.999.900;44.079.999.999.999.700;0.0;0.0;0.0;;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed2_P3_pl5.xlsx;hard;ok;optimal;0.68;;;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;0.0;0.0;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed3_P3_pl5.xlsx;soft12;ok;optimal;0.286;;;256.88;21.879.999.999.999.900;0.0;0.0;;;0.0;0.0;235.0;8;5;3;5;36.841
scn_few-loose_seed3_P3_pl5.xlsx;soft;ok;optimal;0.284;;;256.88;21.879.999.999.999.900;0.0;0.0;;;0.0;0.0;235.0;8;5;3;5;36.841
scn_few-loose_seed3_P3_pl5.xlsx;medium;ok;optimal;0.389;;;256.88;21.879.999.999.999.900;0.0;0.0;0.0;;0.0;0.0;235.0;8;5;3;5;36.841
scn_few-loose_seed3_P3_pl5.xlsx;hard;ok;optimal;0.367;;;256.88;21.879.999.999.999.900;0.0;0.0;0.0;0.0;0.0;0.0;235.0;8;5;3;5;36.841
scn_few-loose_seed4_P3_pl5.xlsx;soft12;ok;optimal;0.608;;;361.45;36.45;0.0;0.0;;;0.0;0.0;325.0;10;5;3;5;54.748
scn_few-loose_seed4_P3_pl5.xlsx;soft;ok;optimal;0.474;;;361.45;36.45;0.0;0.0;;;0.0;0.0;325.0;10;5;3;5;54.748
