scenario,mode,status,termination,solve_time_s,mipgap,best_bound,objective,Tmax,client_delay_sum,viol_C_sum,client_switches,positions_slack_used,switches_slot_sum,presence_sum,idle_sum,n_jobs,n_planes,n_clients,n_positions,H,model_id,preset,n_vars,n_cons,n_bin,scenario_type,window_tightness,jobs_per_plane_hint,positions_hint,seed,feasible,mipgap_filled
scn_custom_many_tight_pl10.xlsx,soft12,ok,optimal,2214.0,,,889563.0,69563.0,0.0,0.0,,,0.0,0.0,820.0,25.0,10.0,6.0,5.0,71587.0,final,,,,,many,tight,,10,,True,
scn_custom_many_tight_pl10.xlsx,soft,ok,optimal,1726.0,,,889563.0,69563.0,0.0,0.0,,,0.0,0.0,820.0,25.0,10.0,6.0,5.0,71587.0,final,,,,,many,tight,,10,,True,
scn_custom_many_tight_pl10.xlsx,medium,ok,optimal,7608.0,,,12000889563.0,69563.0,0.0,0.0,12.0,,0.0,0.0,820.0,25.0,10.0,6.0,5.0,71587.0,final,,,,,many,tight,,10,,True,
scn_custom_many_tight_pl10.xlsx,hard,warning,infeasible,3509.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,6.0,5.0,71587.0,final,,,,,many,tight,,10,,False,
scn_custom_many_tight_pl12.xlsx,soft12,ok,optimal,1543.0,,,1014914.0,66914.0,0.0,0.0,,,0.0,948.0,0.0,24.0,12.0,6.0,5.0,68841.0,final,,,,,many,tight,,12,,True,
scn_custom_many_tight_pl12.xlsx,soft,ok,optimal,1635.0,,,1014914.0,66914.0,0.0,0.0,,,0.0,948.0,0.0,24.0,12.0,6.0,5.0,68841.0,final,,,,,many,tight,,12,,True,
scn_custom_many_tight_pl12.xlsx,medium,ok,optimal,4081.0,,,7001014914.0,66914.0,0.0,0.0,7.0,,0.0,0.0,948.0,24.0,12.0,6.0,5.0,68841.0,final,,,,,many,tight,,12,,True,
scn_custom_many_tight_pl12.xlsx,hard,ok,optimal,3.2,,,87001014914.0,66914.0,0.0,0.0,7.0,4.0,0.0,0.0,948.0,24.0,12.0,6.0,5.0,68841.0,final,,,,,many,tight,,12,,True,
scn_custom_many_tight_pl14.xlsx,soft12,ok,optimal,1859.0,,,1247638.0,71638.0,0.0,0.0,,,0.0,0.0,1176.0,25.0,14.0,6.0,5.0,73891.0,final,,,,,many,tight,,14,,True,
scn_custom_many_tight_pl14.xlsx,soft,ok,optimal,2005.0,,,1247638.0,71638.0,0.0,0.0,,,0.0,0.0,1176.0,25.0,14.0,6.0,5.0,73891.0,final,,,,,many,tight,,14,,True,
scn_custom_many_tight_pl14.xlsx,medium,ok,optimal,4131.0,,,13001247638.0,71638.0,0.0,0.0,13.0,,0.0,0.0,1176.0,25.0,14.0,6.0,5.0,73891.0,final,,,,,many,tight,,14,,True,
scn_custom_many_tight_pl14.xlsx,hard,warning,infeasible,2858.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,6.0,5.0,73891.0,final,,,,,many,tight,,14,,False,
scn_custom_many_tight_pl16.xlsx,soft12,ok,optimal,3547.0,,,1840.16,96.16,0.0,0.0,,,0.0,0.0,1744.0,33.0,16.0,6.0,5.0,98223.0,final,,,,,many,tight,,16,,True,
scn_custom_many_tight_pl16.xlsx,soft,ok,optimal,3137.0,,,1840.16,96.16,0.0,0.0,,,0.0,0.0,1744.0,33.0,16.0,6.0,5.0,98223.0,final,,,,,many,tight,,16,,True,
scn_custom_many_tight_pl16.xlsx,medium,ok,optimal,14135.0,,,21001840.16,96.16,0.0,0.0,21.0,,0.0,0.0,1744.0,33.0,16.0,6.0,5.0,98223.0,final,,,,,many,tight,,16,,True,
scn_custom_many_tight_pl16.xlsx,hard,warning,infeasible,4609.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,16.0,6.0,5.0,98223.0,final,,,,,many,tight,,16,,False,
scn_custom_many_tight_pl18.xlsx,soft12,ok,optimal,4714.0,,,2513209.0,119209.0,0.0,0.0,,,0.0,0.0,2394.0,41.0,18.0,6.0,5.0,122524.0,final,,,,,many,tight,,18,,True,
scn_custom_many_tight_pl18.xlsx,soft,ok,optimal,4609.0,,,2513209.0,119209.0,0.0,0.0,,,0.0,0.0,2394.0,41.0,18.0,6.0,5.0,122524.0,final,,,,,many,tight,,18,,True,
scn_custom_many_tight_pl18.xlsx,medium,ok,optimal,24756.0,,,36002513352.0,119352.0,0.0,0.0,36.0,,0.0,0.0,2394.0,41.0,18.0,6.0,5.0,122524.0,final,,,,,many,tight,,18,,True,
scn_custom_many_tight_pl18.xlsx,hard,warning,infeasible,6863.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,18.0,6.0,5.0,122524.0,final,,,,,many,tight,,18,,False,
scn_custom_many_tight_pl20.xlsx,soft12,ok,optimal,3527.0,,,2.128644e+16,88644.0,0.0,0.0,,,0.0,0.0,2040.0,35.0,20.0,6.0,5.0,91298.0,final,,,,,many,tight,,20,,True,
scn_custom_many_tight_pl20.xlsx,soft,ok,optimal,3716.0,,,2.128644e+16,88644.0,0.0,0.0,,,0.0,0.0,2040.0,35.0,20.0,6.0,5.0,91298.0,final,,,,,many,tight,,20,,True,
scn_custom_many_tight_pl20.xlsx,medium,ok,optimal,20199.0,,,23002128644.0,88644.0,0.0,0.0,23.0,,0.0,0.0,2040.0,35.0,20.0,6.0,5.0,91298.0,final,,,,,many,tight,,20,,True,
scn_custom_many_tight_pl20.xlsx,hard,ok,optimal,6422.0,,,112002129301.0,8930099999999990.0,0.0,0.0,32.0,4.0,0.0,0.0,2040.0,35.0,20.0,6.0,5.0,91298.0,final,,,,,many,tight,,20,,True,
scn_few-loose_seed10_P3_pl5.xlsx,soft12,ok,optimal,0.688,,,417573.0,37573.0,0.0,0.0,,,0.0,0.0,380.0,14.0,5.0,3.0,5.0,65039.0,final,,,,,few,loose,3.0,5,10.0,True,
scn_few-loose_seed10_P3_pl5.xlsx,soft,ok,optimal,0.704,,,417573.0,37573.0,0.0,0.0,,,0.0,0.0,380.0,14.0,5.0,3.0,5.0,65039.0,final,,,,,few,loose,3.0,5,10.0,True,
scn_few-loose_seed10_P3_pl5.xlsx,medium,ok,optimal,0.858,,,423.15,43.15,0.0,0.0,0.0,,0.0,0.0,380.0,14.0,5.0,3.0,5.0,65039.0,final,,,,,few,loose,3.0,5,10.0,True,
scn_few-loose_seed10_P3_pl5.xlsx,hard,ok,optimal,0.843,,,422.8,42.8,0.0,0.0,0.0,0.0,0.0,0.0,380.0,14.0,5.0,3.0,5.0,65039.0,final,,,,,few,loose,3.0,5,10.0,True,
scn_few-loose_seed11_P3_pl5.xlsx,soft12,ok,optimal,0.464,,,356554.0,3655399999999990.0,0.0,0.0,,,0.0,0.0,320.0,9.0,5.0,3.0,5.0,53888.0,final,,,,,few,loose,3.0,5,11.0,True,
scn_few-loose_seed11_P3_pl5.xlsx,soft,ok,optimal,0.441,,,356554.0,3655399999999990.0,0.0,0.0,,,0.0,0.0,320.0,9.0,5.0,3.0,5.0,53888.0,final,,,,,few,loose,3.0,5,11.0,True,
scn_few-loose_seed11_P3_pl5.xlsx,medium,ok,optimal,0.438,,,356554.0,3655399999999990.0,0.0,0.0,0.0,,0.0,0.0,320.0,9.0,5.0,3.0,5.0,53888.0,final,,,,,few,loose,3.0,5,11.0,True,
scn_few-loose_seed11_P3_pl5.xlsx,hard,ok,optimal,0.443,,,356554.0,3655399999999990.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,9.0,5.0,3.0,5.0,53888.0,final,,,,,few,loose,3.0,5,11.0,True,
scn_few-loose_seed12_P3_pl5.xlsx,soft12,ok,optimal,0.359,,,295.36,25.36,0.0,0.0,,,0.0,0.0,270.0,8.0,5.0,3.0,5.0,43678.0,final,,,,,few,loose,3.0,5,12.0,True,
scn_few-loose_seed12_P3_pl5.xlsx,soft,ok,optimal,0.364,,,295.36,25.36,0.0,0.0,,,0.0,0.0,270.0,8.0,5.0,3.0,5.0,43678.0,final,,,,,few,loose,3.0,5,12.0,True,
scn_few-loose_seed12_P3_pl5.xlsx,medium,ok,optimal,0.347,,,295.36,25.36,0.0,0.0,0.0,,0.0,0.0,270.0,8.0,5.0,3.0,5.0,43678.0,final,,,,,few,loose,3.0,5,12.0,True,
scn_few-loose_seed12_P3_pl5.xlsx,hard,ok,optimal,0.406,,,295.36,25.36,0.0,0.0,0.0,0.0,0.0,0.0,270.0,8.0,5.0,3.0,5.0,43678.0,final,,,,,few,loose,3.0,5,12.0,True,
scn_few-loose_seed1_P3_pl5.xlsx,soft12,ok,optimal,0.547,,,3.95912e+16,3.5912e+16,0.0,0.0,,,0.0,0.0,360.0,12.0,5.0,3.0,5.0,61065.0,final,,,,,few,loose,3.0,5,1.0,True,
scn_few-loose_seed1_P3_pl5.xlsx,soft,ok,optimal,0.54,,,3.95912e+16,3.5912e+16,0.0,0.0,,,0.0,0.0,360.0,12.0,5.0,3.0,5.0,61065.0,final,,,,,few,loose,3.0,5,1.0,True,
scn_few-loose_seed1_P3_pl5.xlsx,medium,ok,optimal,0.614,,,4019709999999990.0,4197099999999970.0,0.0,0.0,0.0,,0.0,0.0,360.0,12.0,5.0,3.0,5.0,61065.0,final,,,,,few,loose,3.0,5,1.0,True,
scn_few-loose_seed1_P3_pl5.xlsx,hard,ok,optimal,0.756,,,4.01669999999999e+16,4166999999999970.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,12.0,5.0,3.0,5.0,61065.0,final,,,,,few,loose,3.0,5,1.0,True,
scn_few-loose_seed2_P3_pl5.xlsx,soft12,ok,optimal,0.607,,,4.07361999999999e+16,3.73619999999999e+16,0.0,0.0,,,0.0,0.0,370.0,13.0,5.0,3.0,5.0,63423.0,final,,,,,few,loose,3.0,5,2.0,True,
scn_few-loose_seed2_P3_pl5.xlsx,soft,ok,optimal,0.729,,,4.07361999999999e+16,3.73619999999999e+16,0.0,0.0,,,0.0,0.0,370.0,13.0,5.0,3.0,5.0,63423.0,final,,,,,few,loose,3.0,5,2.0,True,
scn_few-loose_seed2_P3_pl5.xlsx,medium,ok,optimal,0.973,,,4.14079999999999e+16,4.40799999999997e+16,0.0,0.0,0.0,,0.0,0.0,370.0,13.0,5.0,3.0,5.0,63423.0,final,,,,,few,loose,3.0,5,2.0,True,
scn_few-loose_seed2_P3_pl5.xlsx,hard,ok,optimal,0.68,,,4.07361999999999e+16,3.73619999999999e+16,0.0,0.0,0.0,0.0,0.0,0.0,370.0,13.0,5.0,3.0,5.0,63423.0,final,,,,,few,loose,3.0,5,2.0,True,
scn_few-loose_seed3_P3_pl5.xlsx,soft12,ok,optimal,0.286,,,256.88,2.18799999999999e+16,0.0,0.0,,,0.0,0.0,235.0,8.0,5.0,3.0,5.0,36841.0,final,,,,,few,loose,3.0,5,3.0,True,
scn_few-loose_seed3_P3_pl5.xlsx,soft,ok,optimal,0.284,,,256.88,2.18799999999999e+16,0.0,0.0,,,0.0,0.0,235.0,8.0,5.0,3.0,5.0,36841.0,final,,,,,few,loose,3.0,5,3.0,True,
scn_few-loose_seed3_P3_pl5.xlsx,medium,ok,optimal,0.389,,,256.88,2.18799999999999e+16,0.0,0.0,0.0,,0.0,0.0,235.0,8.0,5.0,3.0,5.0,36841.0,final,,,,,few,loose,3.0,5,3.0,True,
scn_few-loose_seed3_P3_pl5.xlsx,hard,ok,optimal,0.367,,,256.88,2.18799999999999e+16,0.0,0.0,0.0,0.0,0.0,0.0,235.0,8.0,5.0,3.0,5.0,36841.0,final,,,,,few,loose,3.0,5,3.0,True,
scn_few-loose_seed4_P3_pl5.xlsx,soft12,ok,optimal,0.608,,,361.45,36.45,0.0,0.0,,,0.0,0.0,325.0,10.0,5.0,3.0,5.0,54748.0,final,,,,,few,loose,3.0,5,4.0,True,
scn_few-loose_seed4_P3_pl5.xlsx,soft,ok,optimal,0.474,,,361.45,36.45,0.0,0.0,,,0.0,0.0,325.0,10.0,5.0,3.0,5.0,54748.0,final,,,,,few,loose,3.0,5,4.0,True,
scn_few-loose_seed4_P3_pl5.xlsx,medium,ok,optimal,0.565,,,3686299999999990.0,436299999999996.0,0.0,0.0,0.0,,0.0,0.0,325.0,10.0,5.0,3.0,5.0,54748.0,final,,,,,few,loose,3.0,5,4.0,True,
