mode,scenario_type,window_tightness,runs,feasible_runs,feasible_rate,time_p50_s,time_p90_s,gap_median,gap_p90,cases_with_delay,cases_with_viol_pos,cases_with_switches,cases_with_pos_slack,avg_planes,avg_jobs
hard,few,loose,36.0,36.0,1.0,0.656,1149.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.5
hard,few,tight,36.0,27.0,0.75,0.9784999999999999,1517.0,0.0,0.99999999993996,0.0,0.0,0.0,0.0,5.0,15.416666666666666
hard,many,mix,8.0,0.0,0.0,198672.0,419772.8,,,0.0,0.0,0.0,0.0,20.0,43.2
hard,many,tight,18.0,6.0,0.3333333333333333,5088.5,7994.0,0.0,0.0,0.0,0.0,6.0,6.0,15.0,30.5
hard,unknown,tight,24.0,0.0,0.0,24564.5,29525.3,,,0.0,0.0,0.0,0.0,30.0,90.5
medium,few,loose,36.0,36.0,1.0,0.648,1129.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.5
medium,few,tight,36.0,27.0,0.75,1.163,1382.0,0.0,0.99999999993996,0.0,0.0,0.0,0.0,5.0,15.416666666666666
medium,many,mix,9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
medium,many,tight,18.0,18.0,1.0,9467.0,28030.400000000012,0.0,0.0,0.0,0.0,18.0,0.0,15.0,30.5
medium,unknown,tight,24.0,0.0,0.0,25478.5,29511.7,,,0.0,0.0,0.0,0.0,30.0,90.5
soft,few,loose,36.0,36.0,1.0,0.5495000000000001,0.8685,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.5
soft,few,tight,36.0,27.0,0.75,0.9365000000000001,1240.5,0.0,0.39999999999996216,0.0,0.0,0.0,0.0,5.0,15.416666666666666
soft,many,mix,9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
soft,many,tight,18.0,18.0,1.0,2909.0,4787.6,0.0,0.0,0.0,0.0,0.0,0.0,15.0,30.5
soft,unknown,tight,24.0,0.0,0.0,21014.0,22894.9,,,0.0,0.0,0.0,0.0,30.0,90.5
soft12,few,loose,36.0,36.0,1.0,0.5965,526.9735,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.5
soft12,few,tight,36.0,27.0,0.75,0.8685,1389.0,0.0,0.39999999999996216,0.0,0.0,0.0,0.0,5.0,15.416666666666666
soft12,many,mix,9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
soft12,many,tight,18.0,18.0,1.0,2323.5,4836.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,30.5
soft12,unknown,tight,24.0,0.0,0.0,20044.0,23101.7,,,0.0,0.0,0.0,0.0,30.0,90.5
