model_id,mode,scenario_type,window_tightness,n_cases,feasible_rate,time_p50_s,time_p90_s,gap_median,Tmax_p50,delay_p50,violC_p50,switch_p50,idle_p50,presence_p50,n_bin_med,n_vars_med,n_cons_med,pct_delay_pos,pct_violC_pos,pct_switch_pos
final,hard,few,loose,12.0,1.0,0.5655,0.7484000000000001,,40.06,0.0,0.0,0.0,322.5,0.0,,,,0.0,0.0,0.0
final,hard,few,tight,12.0,0.75,1191.0,1787.2000000000005,,102345.0,0.0,0.0,0.0,540.0,0.0,,,,0.0,0.0,0.0
final,hard,many,tight,6.0,0.3333333333333333,3212.6,5780.12,,4465050000033452.0,0.0,0.0,19.5,1494.0,0.0,,,,0.0,0.0,1.0
final,hard,unknown,tight,4.0,0.0,,,,,,,,,,,,,,,
final,medium,few,loose,12.0,1.0,0.5445,0.8356000000000001,,218150000000019.56,0.0,0.0,0.0,322.5,0.0,,,,0.0,0.0,0.0
final,medium,few,tight,12.0,0.75,1047.0,1164.6,,102345.0,0.0,0.0,0.0,540.0,0.0,,,,0.0,0.0,0.0
final,medium,many,tight,6.0,1.0,10871.5,22477.5,,70600.5,0.0,0.0,17.0,1460.0,0.0,,,,0.0,0.0,1.0
final,medium,unknown,tight,4.0,0.0,,,,,,,,,,,,,,,
final,soft,few,loose,12.0,1.0,0.471,0.7641,,18805.16,0.0,0.0,,322.5,0.0,,,,0.0,0.0,0.0
final,soft,few,tight,12.0,0.75,0.926,1326.8000000000002,,102345.0,0.0,0.0,,0.0,505.0,,,,0.0,0.0,0.0
final,soft,many,tight,6.0,1.0,2571.0,4162.5,,70600.5,0.0,0.0,,1460.0,0.0,,,,0.0,0.0,0.0
final,soft,unknown,tight,4.0,0.0,,,,,,,,,,,,,,,
final,soft12,few,loose,12.0,1.0,0.5325,0.6107,,18805.16,0.0,0.0,,322.5,0.0,,,,0.0,0.0,0.0
final,soft12,few,tight,12.0,0.75,1032.0,1305.8000000000002,,102345.0,0.0,0.0,,0.0,505.0,,,,0.0,0.0,0.0
final,soft12,many,tight,6.0,1.0,2870.5,4130.5,,70600.5,0.0,0.0,,1460.0,0.0,,,,0.0,0.0,0.0
final,soft12,unknown,tight,4.0,0.0,,,,,,,,,,,,,,,
initial,hard,few,loose,12.0,1.0,2453.0,3152.0,,76555.5,0.0,0.0,0.0,442.5,0.0,11135.0,11276.0,15210.0,0.0,0.0,0.0
initial,hard,few,tight,12.0,1.0,4913.5,5697.0,,127403.0,0.0,0.0,0.0,675.0,0.0,21490.0,21691.0,28842.5,0.0,0.0,0.0
initial,hard,many,mix,12.0,0.0,,,,,,,,,,,,,,,
initial,hard,many,tight,6.0,0.6666666666666666,29657.0,61493.3,,4469550000056279.0,0.0,0.0,2.0,1349.0,0.0,35767.5,36093.5,53131.5,0.0,0.0,0.75
initial,hard,unknown,tight,8.0,0.0,,,,,,,,,,,,,,,
initial,medium,few,loose,12.0,1.0,2263.5,3055.1,,76555.5,0.0,0.0,0.0,442.5,0.0,11130.0,11271.0,15205.0,0.0,0.0,0.0
initial,medium,few,tight,12.0,1.0,4416.0,6685.900000000001,,127403.0,0.0,0.0,0.0,675.0,0.0,21485.0,21686.0,28837.5,0.0,0.0,0.0
initial,medium,many,mix,12.0,0.0,,,,,,,,,,,,,,,
initial,medium,many,tight,6.0,0.8333333333333334,45793.0,131977.0,,145194.0,0.0,0.0,0.0,1498.0,0.0,38418.0,38751.0,56930.0,0.0,0.0,0.2
initial,medium,unknown,tight,8.0,0.0,,,,,,,,,,,,,,,
initial,soft,few,loose,12.0,1.0,2452.0,3134.0,,76555.5,0.0,0.0,,442.5,0.0,10950.0,11091.0,14485.0,0.0,0.0,0.0
initial,soft,few,tight,12.0,1.0,4389.5,4961.4,,127403.0,0.0,0.0,,675.0,0.0,21117.5,21318.5,27367.5,0.0,0.0,0.0
initial,soft,many,mix,12.0,0.08333333333333333,29.57,29.57,,84573.0,0.0,0.0,,1900.0,0.0,51295.0,51754.0,74702.0,0.0,0.0,0.0
initial,soft,many,tight,6.0,1.0,10914.5,20720.5,,132028.5,0.0,0.0,,1781.0,0.0,46794.0,47176.0,65506.0,0.0,0.0,0.0
initial,soft,unknown,tight,8.0,0.0,,,,,,,,,,,,,,,
initial,soft12,few,loose,12.0,1.0,2423.5,3225.1,,76555.5,0.0,0.0,,442.5,0.0,10950.0,11085.0,14482.0,0.0,0.0,0.0
initial,soft12,few,tight,12.0,1.0,4628.0,5683.400000000001,,127403.0,0.0,0.0,,675.0,0.0,21117.5,21312.5,27364.5,0.0,0.0,0.0
initial,soft12,many,mix,12.0,0.08333333333333333,29515.0,29515.0,,84573.0,0.0,0.0,,1900.0,0.0,51295.0,51742.0,74696.0,0.0,0.0,0.0
initial,soft12,many,tight,6.0,1.0,6827.5,19752.5,,132028.5,0.0,0.0,,1781.0,0.0,46794.0,47164.0,65500.0,0.0,0.0,0.0
initial,soft12,unknown,tight,8.0,0.0,,,,,,,,,,,,,,,
