scenario,mode,preset,status,termination,solve_time_s,mipgap,best_bound,objective,Tmax,client_delay_sum,viol_C_sum,client_switches,positions_slack_used,switches_slot_sum,presence_sum,idle_sum,n_jobs,n_planes,n_clients,n_positions,H,scenario_type,window_tightness,jobs_per_plane_declared,positions_declared,seed,feasible,mipgap_filled,has_client_delay,violates_client_pos,has_client_switch,uses_pos_slack,stress_score
scn_custom_many_tight_pl18.xlsx,medium,feasible,ok,optimal,53543.0,,36002513352.0,36002513352.0,119352.0,0.0,0.0,36.0,,0.0,0.0,2394.0,41.0,18.0,6.0,5.0,122524.0,many,tight,,18,,True,0.0,False,False,True,False,1861.7666666666667
scn_custom_many_tight_pl20.xlsx,medium,feasible,ok,optimal,40377.0,,23002128644.0,23002128644.0,88644.0,0.0,0.0,23.0,,0.0,0.0,2040.0,35.0,20.0,6.0,5.0,91298.0,many,tight,,20,,True,0.0,False,False,True,False,1420.9
scn_custom_many_tight_pl18.xlsx,medium,base,ok,optimal,22739.0,,36002513352.0,36002513352.0,1.19351999999999e+16,0.0,0.0,36.0,,0.0,0.0,2394.0,41.0,18.0,6.0,5.0,122524.0,many,tight,,18,,True,0.0,False,False,True,False,834.9666666666667
scn_custom_many_tight_pl20.xlsx,medium,fast,ok,optimal,21552.0,,23002128644.0,23002128644.0,88644.0,0.0,0.0,23.0,,0.0,0.0,2040.0,35.0,20.0,6.0,5.0,91298.0,many,tight,,20,,True,0.0,False,False,True,False,793.4
scn_custom_many_tight_pl16.xlsx,medium,feasible,ok,optimal,21835.0,,21001840.16,21001840.16,96.16,0.0,0.0,21.0,,0.0,0.0,1744.0,33.0,16.0,6.0,5.0,98223.0,many,tight,,16,,True,0.0,False,False,True,False,792.8333333333334
scn_custom_many_tight_pl16.xlsx,medium,base,ok,optimal,18361.0,,21001840.16,21001840.16,96.16,0.0,0.0,21.0,,0.0,0.0,1744.0,33.0,16.0,6.0,5.0,98223.0,many,tight,,16,,True,0.0,False,False,True,False,677.0333333333333
scn_custom_many_tight_pl20.xlsx,medium,base,ok,optimal,16507.0,,23002128644.0,23002128644.0,88644.0,0.0,0.0,23.0,,0.0,0.0,2040.0,35.0,20.0,6.0,5.0,91298.0,many,tight,,20,,True,0.0,False,False,True,False,625.2333333333333
scn_custom_many_tight_pl16.xlsx,medium,fast,ok,optimal,14338.0,,21001840.16,21001840.16,96.16,0.0,0.0,21.0,,0.0,0.0,1744.0,33.0,16.0,6.0,5.0,98223.0,many,tight,,16,,True,0.0,False,False,True,False,542.9333333333334
scn_custom_many_tight_pl20.xlsx,hard,feasible,ok,optimal,10442.0,,112002129301.0,112002129301.0,8930099999999990.0,0.0,0.0,32.0,4.0,0.0,0.0,2040.0,35.0,20.0,6.0,5.0,91298.0,many,tight,,20,,True,0.0,False,False,True,True,423.06666666666666
scn_custom_many_tight_pl10.xlsx,medium,feasible,ok,optimal,10955.0,,1.2000889563e+16,1.2000889563e+16,69563.0,0.0,0.0,12.0,,0.0,0.0,820.0,25.0,10.0,6.0,5.0,71587.0,many,tight,,10,,True,0.0,False,False,True,False,410.1666666666667
scn_custom_many_tight_pl20.xlsx,hard,fast,ok,optimal,8232.0,,112002129301.0,112002129301.0,8930099999999990.0,0.0,0.0,32.0,4.0,0.0,0.0,2040.0,35.0,20.0,6.0,5.0,91298.0,many,tight,,20,,True,0.0,False,False,True,True,349.4
scn_custom_many_tight_pl12.xlsx,medium,feasible,ok,optimal,7979.0,,7001013634557160.0,7001013634557160.0,66914.0,0.0,0.0,6999998720557160.0,,0.0,0.0,948.0,24.0,12.0,6.0,5.0,68841.0,many,tight,,12,,True,0.0,False,False,True,False,313.96666666666664
scn_custom_many_tight_pl14.xlsx,medium,feasible,ok,optimal,7228.0,,13001247638.0,13001247638.0,71638.0,0.0,0.0,13.0,,0.0,0.0,1176.0,25.0,14.0,6.0,5.0,73891.0,many,tight,,14,,True,0.0,False,False,True,False,293.93333333333334
scn_custom_many_tight_pl20.xlsx,soft12,feasible,ok,optimal,6265.0,,2.128644e+16,2.128644e+16,88644.0,0.0,0.0,,,0.0,0.0,2040.0,35.0,20.0,6.0,5.0,91298.0,many,tight,,20,,True,0.0,False,False,False,False,283.83333333333337
scn_custom_many_tight_pl20.xlsx,hard,base,ok,optimal,5869.0,,112002129301.0,112002129301.0,89301.0,0.0,0.0,32.0,4.0,0.0,0.0,2040.0,35.0,20.0,6.0,5.0,91298.0,many,tight,,20,,True,0.0,False,False,True,True,270.6333333333333
