scenario;mode;preset;status;termination;solve_time_s;mipgap;best_bound;objective;Tmax;client_delay_sum;viol_C_sum;client_switches;positions_slack_used;switches_slot_sum;presence_sum;idle_sum;n_jobs;n_planes;n_clients;n_positions;H;n_vars;n_cons;n_bin
scn_custom_many_tight_pl10.xlsx;soft12;base;ok;optimal;8.318;;;;90.617;0.0;0.0;;;0.0;0.0;1010.0;25;10;6;5;90.617;31312;43276;30995
scn_custom_many_tight_pl10.xlsx;soft;base;ok;optimal;9.16;;;;90.617;0.0;0.0;;;0.0;0.0;1010.0;25;10;6;5;90.617;31324;43282;30995
scn_custom_many_tight_pl10.xlsx;medium;base;ok;optimal;65.362;;;;90.617;0.0;0.0;0.0;;0.0;0.0;1010.0;25;10;6;5;90.617;32609;48422;32280
scn_custom_many_tight_pl10.xlsx;hard;base;ok;optimal;14.407;;;;90.617;0.0;0.0;0.0;1.0;0.0;0.0;1010.0;25;10;6;5;90.617;32614;48427;32285
scn_custom_many_tight_pl12.xlsx;soft12;base;ok;optimal;5.337;;;;8.939.099.999.999.990;0.0;0.0;;;0.0;0.0;1200.0;24;12;6;5;8.939.099.999.999.990;32229;44577;31922
scn_custom_many_tight_pl12.xlsx;soft;base;ok;optimal;6.564;;;;8.939.099.999.999.990;0.0;0.0;;;0.0;0.0;1200.0;24;12;6;5;8.939.099.999.999.990;32241;44583;31922
scn_custom_many_tight_pl12.xlsx;medium;base;ok;optimal;12.394;;;;8.939.099.999.999.990;0.0;0.0;0.0;;0.0;0.0;1200.0;24;12;6;5;8.939.099.999.999.990;33426;49323;33107
scn_custom_many_tight_pl12.xlsx;hard;base;ok;optimal;19.429;;;;8.939.099.999.999.990;0.0;0.0;2.0;1.0;0.0;0.0;1200.0;24;12;6;5;8.939.099.999.999.990;33431;49328;33112
scn_custom_many_tight_pl14.xlsx;soft12;base;ok;optimal;8.03;;;;9.637.100.000.000.000;0.0;0.0;;;0.0;0.0;1498.0;25;14;6;5;9.637.100.000.000.000;37464;51824;37143
scn_custom_many_tight_pl14.xlsx;soft;base;ok;optimal;7.781;;;;9.637.100.000.000.000;0.0;0.0;;;0.0;0.0;1498.0;25;14;6;5;9.637.100.000.000.000;37476;51830;37143
scn_custom_many_tight_pl14.xlsx;medium;base;ok;optimal;42.585;;;;9.637.100.000.000.000;0.0;0.0;0.0;;0.0;0.0;1498.0;25;14;6;5;9.637.100.000.000.000;38751;56930;38418
scn_custom_many_tight_pl14.xlsx;hard;base;ok;optimal;39.885;;;;9.637.100.000.000.000;0.0;0.0;3.0;1.0;0.0;0.0;1498.0;25;14;6;5;9.637.100.000.000.000;38756;56935;38423
scn_custom_many_tight_pl16.xlsx;soft12;base;ok;optimal;12.86;;;;118.863;0.0;0.0;;;0.0;0.0;2064.0;33;16;6;5;118.863;56864;79176;56445
scn_custom_many_tight_pl16.xlsx;soft;base;ok;optimal;14.048;;;;118.863;0.0;0.0;;;0.0;0.0;2064.0;33;16;6;5;118.863;56876;79182;56445
scn_custom_many_tight_pl16.xlsx;medium;base;aborted;maxTimeLimit;307.209;;;;118.863;0.0;0.0;5.0;;0.0;0.0;2064.0;33;16;6;5;118.863;59136;88222;58705
scn_custom_many_tight_pl16.xlsx;hard;base;aborted;maxTimeLimit;309.689;;;;118.863;0.0;0.0;8.0;1.0;0.0;0.0;2064.0;33;16;6;5;118.863;59141;88227;58710
scn_custom_many_tight_pl18.xlsx;soft12;base;ok;optimal;22.881;;;;145.194;0.0;0.0;;;0.0;0.0;2808.0;41;18;6;5;145.194;82440;115002;81923
scn_custom_many_tight_pl18.xlsx;soft;base;ok;optimal;24.136;;;;145.194;0.0;0.0;;;0.0;0.0;2808.0;41;18;6;5;145.194;82452;115008;81923
scn_custom_many_tight_pl18.xlsx;medium;base;ok;optimal;176.387;;;;145.194;0.0;0.0;0.0;;0.0;0.0;2808.0;41;18;6;5;145.194;85942;128968;85413
scn_custom_many_tight_pl18.xlsx;hard;base;aborted;maxTimeLimit;311.672;;;;145.194;0.0;0.0;3.0;2.0;0.0;0.0;2808.0;41;18;6;5;145.194;85947;128973;85418
scn_custom_many_tight_pl20.xlsx;soft12;base;ok;optimal;16.624;;;;112.568;0.0;0.0;;;0.0;0.0;2460.0;35;20;6;5;112.568;62942;88696;62495
scn_custom_many_tight_pl20.xlsx;soft;base;ok;optimal;17.305;;;;112.568;0.0;0.0;;;0.0;0.0;2460.0;35;20;6;5;112.568;62954;88702;62495
scn_custom_many_tight_pl20.xlsx;medium;base;ok;optimal;45.793;;;;112.568;0.0;0.0;1.0;;0.0;0.0;2460.0;35;20;6;5;112.568;65469;98762;65010
scn_custom_many_tight_pl20.xlsx;hard;base;ok;optimal;70.754;;;;112.568;0.0;0.0;2.0;1.0;0.0;0.0;2460.0;35;20;6;5;112.568;65474;98767;65015
scn_few-loose_seed10_P3_pl5.xlsx;soft12;base;ok;optimal;4.291;;;;86.569;0.0;0.0;;;0.0;0.0;485.0;14;5;3;5;86.569;14874;19479;14697
scn_few-loose_seed10_P3_pl5.xlsx;soft;base;ok;optimal;3.428;;;;86.569;0.0;0.0;;;0.0;0.0;485.0;14;5;3;5;86.569;14880;19482;14697
scn_few-loose_seed10_P3_pl5.xlsx;medium;base;ok;optimal;3.647;;;;86.569;0.0;0.0;0.0;;0.0;0.0;485.0;14;5;3;5;86.569;15180;20682;14997
scn_few-loose_seed10_P3_pl5.xlsx;hard;base;ok;optimal;3.197;;;;86.569;0.0;0.0;0.0;0.0;0.0;0.0;485.0;14;5;3;5;86.569;15185;20687;15002
scn_few-loose_seed11_P3_pl5.xlsx;soft12;base;ok;optimal;2.755;;;;77.588;0.0;0.0;;;0.0;0.0;440.0;9;5;3;5;77.588;10209;13299;10092
scn_few-loose_seed11_P3_pl5.xlsx;soft;base;ok;optimal;2.918;;;;77.588;0.0;0.0;;;0.0;0.0;440.0;9;5;3;5;77.588;10215;13302;10092
scn_few-loose_seed11_P3_pl5.xlsx;medium;base;ok;optimal;2.732;;;;77.588;0.0;0.0;0.0;;0.0;0.0;440.0;9;5;3;5;77.588;10345;13822;10222
scn_few-loose_seed11_P3_pl5.xlsx;hard;base;ok;optimal;2.481;;;;77.588;0.0;0.0;0.0;0.0;0.0;0.0;440.0;9;5;3;5;77.588;10350;13827;10227
scn_few-loose_seed12_P3_pl5.xlsx;soft12;base;ok;optimal;2.256;;;;65.818;0.0;0.0;;;0.0;0.0;380.0;8;5;3;5;65.818;8376;10974;8271
scn_few-loose_seed12_P3_pl5.xlsx;soft;base;ok;optimal;1.862;;;;65.818;0.0;0.0;;;0.0;0.0;380.0;8;5;3;5;65.818;8382;10977;8271
scn_few-loose_seed12_P3_pl5.xlsx;medium;base;ok;optimal;2.371;;;;65.818;0.0;0.0;0.0;;0.0;0.0;380.0;8;5;3;5;65.818;8482;11377;8371
scn_few-loose_seed12_P3_pl5.xlsx;hard;base;ok;optimal;2.723;;;;65.818;0.0;0.0;0.0;0.0;0.0;0.0;380.0;8;5;3;5;65.818;8487;11382;8376
scn_few-loose_seed1_P3_pl5.xlsx;soft12;base;ok;optimal;3.251;;;;82.785;0.0;0.0;;;0.0;0.0;465.0;12;5;3;5;82.785;12840;16763;12687
scn_few-loose_seed1_P3_pl5.xlsx;soft;base;ok;optimal;2.547;;;;82.785;0.0;0.0;;;0.0;0.0;465.0;12;5;3;5;82.785;12846;16766;12687
scn_few-loose_seed1_P3_pl5.xlsx;medium;base;ok;optimal;2.639;;;;82.785;0.0;0.0;0.0;;0.0;0.0;465.0;12;5;3;5;82.785;13081;17706;12922
scn_few-loose_seed1_P3_pl5.xlsx;hard;base;ok;optimal;2.425;;;;82.785;0.0;0.0;0.0;0.0;0.0;0.0;465.0;12;5;3;5;82.785;13086;17711;12927
scn_few-loose_seed2_P3_pl5.xlsx;soft12;base;ok;optimal;2.853;;;;8.782.300.000.000.000;0.0;0.0;;;0.0;0.0;490.0;13;5;3;5;8.782.300.000.000.000;14211;18539;14046
scn_few-loose_seed2_P3_pl5.xlsx;soft;base;ok;optimal;3.21;;;;8.782.300.000.000.000;0.0;0.0;;;0.0;0.0;490.0;13;5;3;5;8.782.300.000.000.000;14217;18542;14046
scn_few-loose_seed2_P3_pl5.xlsx;medium;base;ok;optimal;3.29;;;;8.782.300.000.000.000;0.0;0.0;0.0;;0.0;0.0;490.0;13;5;3;5;8.782.300.000.000.000;14487;19622;14316
scn_few-loose_seed2_P3_pl5.xlsx;hard;base;ok;optimal;2.297;;;;8.782.300.000.000.000;0.0;0.0;0.0;0.0;0.0;0.0;490.0;13;5;3;5;8.782.300.000.000.000;14492;19627;14321
