scenario;mode;preset;status;termination;solve_time_s;mipgap;best_bound;objective;Tmax;client_delay_sum;viol_C_sum;client_switches;positions_slack_used;switches_slot_sum;presence_sum;idle_sum;n_jobs;n_planes;n_clients;n_positions;H
scn_custom_many_tight_pl10.xlsx;soft12;base;ok;optimal;1.803;;889.563;889.563;69.563;0.0;0.0;;;0.0;0.0;820.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;soft12;fast;ok;optimal;2.208;;889.563;889.563;69.563;0.0;0.0;;;0.0;0.0;820.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;soft12;feasible;ok;optimal;2.423;;889.563;889.563;69.563;0.0;0.0;;;0.0;0.0;820.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;soft;base;ok;optimal;1.733;;889.563;889.563;69.563;0.0;0.0;;;0.0;0.0;820.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;soft;fast;ok;optimal;2.057;;889.563;889.563;69.563;0.0;0.0;;;0.0;0.0;820.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;soft;feasible;ok;optimal;2.244;;889.563;889.563;69.563;0.0;0.0;;;0.0;0.0;820.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;medium;base;ok;optimal;5.319;;12.000.889.563.000.000;12.000.889.563.000.000;69.563;0.0;0.0;12.0;;0.0;0.0;820.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;medium;fast;ok;optimal;6.26;;12.000.889.563.000.000;12.000.889.563.000.000;69.563;0.0;0.0;12.0;;0.0;0.0;820.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;medium;feasible;ok;optimal;10.955;;12.000.889.563.000.000;12.000.889.563.000.000;69.563;0.0;0.0;12.0;;0.0;0.0;820.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;hard;base;warning;infeasible;3.538;;inf;inf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;hard;fast;warning;infeasible;5.304;;inf;inf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25;10;6;5;71.587
scn_custom_many_tight_pl10.xlsx;hard;feasible;warning;infeasible;5.842;;inf;inf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25;10;6;5;71.587
