plane,job,p,type,start,finish,client,start_dt,finish_dt
9,9-1,position1,work,0.0,4.719999999999942,3,2024-11-17 00:00:00.000000,2024-11-21 17:16:48.000000
15,15-1,position1,work,4.71999999999897,15.81999999999897,3,2024-11-21 17:16:48.000000,2024-12-02 19:40:48.000000
3,3-1,position1,work,15.819999999996899,21.9099999999969,3,2024-12-02 19:40:48.000000,2024-12-08 21:50:24.000000
9,9-2,position1,work,21.90999999999491,30.629999999994908,3,2024-12-08 21:50:24.000000,2024-12-17 15:07:12.000000
15,15-2,position1,work,30.62999999999211,41.73999999999211,3,2024-12-17 15:07:11.999999,2024-12-28 17:45:35.999999
15,15-3,position1,work,41.73999999999178,48.00999999999178,3,2024-12-28 17:45:35.999999,2025-01-04 00:14:23.999999
8,8-1,position2,work,0.0,6.329999999999956,2,2024-11-17 00:00:00.000000,2024-11-23 07:55:12.000000
8,8-2,position2,work,6.329999999999956,13.729999999999956,2,2024-11-23 07:55:12.000000,2024-11-30 17:31:12.000000
8,8-3,position2,work,13.729999999999903,22.45,2,2024-11-30 17:31:12.000000,2024-12-09 10:48:00.000000
6,6-1,position2,work,22.45,32.16999999999845,6,2024-12-09 10:48:00.000000,2024-12-19 04:04:48.000000
6,6-2,position2,work,32.169999999998076,43.179999999998074,6,2024-12-19 04:04:48.000000,2024-12-30 04:19:12.000000
20,20-1,position2,work,43.179999999995104,51.12999999999511,2,2024-12-30 04:19:12.000000,2025-01-07 03:07:12.000000
20,20-2,position2,work,51.12999999999507,60.86999999999507,2,2025-01-07 03:07:12.000000,2025-01-16 20:52:48.000000
20,20-3,position2,work,60.86999999999503,70.85,2,2025-01-16 20:52:48.000000,2025-01-26 20:24:00.000000
2,2-1,position2,work,70.85,74.21999999999504,2,2025-01-26 20:24:00.000000,2025-01-30 05:16:48.000000
18,18-1,position2,work,74.21999999999504,80.58999999999504,6,2025-01-30 05:16:48.000000,2025-02-05 14:09:36.000000
14,14-1,position2,work,80.58999999999513,88.42999999999513,2,2025-02-05 14:09:36.000000,2025-02-13 10:19:12.000000
14,14-2,position2,work,88.4299999999951,99.3399999999951,2,2025-02-13 10:19:12.000000,2025-02-24 08:09:36.000000
12,12-1,position2,work,99.33999999999516,103.70999999999516,6,2025-02-24 08:09:36.000000,2025-02-28 17:02:24.000000
17,17-1,position3,work,96.65999999985513,107.02999999985514,5,2025-02-21 15:50:23.999987,2025-03-04 00:43:11.999987
11,11-1,position3,work,107.02999999985525,114.71999999985525,5,2025-03-04 00:43:11.999987,2025-03-11 17:16:47.999987
11,11-2,position3,work,114.71999999985525,123.15999999985524,5,2025-03-11 17:16:47.999987,2025-03-20 03:50:23.999987
5,5-1,position3,work,123.15999999985527,132.68999999985527,5,2025-03-20 03:50:23.999987,2025-03-29 16:33:35.999987
5,5-2,position3,work,132.68999999985527,140.57999999985526,5,2025-03-29 16:33:35.999987,2025-04-06 13:55:11.999987
16,16-1,position4,work,65.88999999985512,68.95999999985511,4,2025-01-21 21:21:35.999987,2025-01-24 23:02:23.999987
10,10-1,position4,work,69.11999999985512,76.87999999985513,4,2025-01-25 02:52:47.999987,2025-02-01 21:07:11.999987
4,4-1,position4,work,76.8799999998551,86.6699999998551,4,2025-02-01 21:07:11.999987,2025-02-11 16:04:47.999987
4,4-2,position4,work,86.6699999998551,96.57999999985509,4,2025-02-11 16:04:47.999987,2025-02-21 13:55:11.999987
19,19-1,position5,work,0.0,5.319999999999936,1,2024-11-17 00:00:00.000000,2024-11-22 07:40:48.000000
19,19-2,position5,work,5.319999999999936,13.319999999999936,1,2024-11-22 07:40:48.000000,2024-11-30 07:40:48.000000
13,13-1,position5,work,13.319999999987516,19.6,1,2024-11-30 07:40:47.999999,2024-12-06 14:24:00.000000
13,13-2,position5,work,19.6,23.11999999998443,1,2024-12-06 14:24:00.000000,2024-12-10 02:52:47.999999
7,7-1,position5,work,23.119999999966495,32.339999999966494,1,2024-12-10 02:52:47.999997,2024-12-19 08:09:35.999997
7,7-2,position5,work,32.33999999995825,40.25,1,2024-12-19 08:09:35.999996,2024-12-27 06:00:00.000000
7,7-3,position5,work,40.25,51.12999999994358,1,2024-12-27 06:00:00.000000,2025-01-07 03:07:11.999995
1,1-1,position5,work,51.12999999991446,56.45999999991446,1,2025-01-07 03:07:11.999993,2025-01-12 11:02:23.999993
1,1-2,position5,work,56.45999999989493,61.739999999894934,1,2025-01-12 11:02:23.999991,2025-01-17 17:45:35.999991
1,1-3,position5,work,61.7399999998551,69.0399999998551,1,2025-01-17 17:45:35.999987,2025-01-25 00:57:35.999987
