plane,job,p,start,finish,client
9,9-1,position1,0.0,4.719999999999942,3
15,15-1,position1,4.71999999999897,15.81999999999897,3
3,3-1,position1,15.819999999996899,21.9099999999969,3
9,9-2,position1,21.90999999999491,30.629999999994908,3
15,15-2,position1,30.62999999999211,41.73999999999211,3
15,15-3,position1,41.73999999999178,48.00999999999178,3
8,8-1,position2,0.0,6.329999999999956,2
8,8-2,position2,6.329999999999956,13.729999999999956,2
8,8-3,position2,13.729999999999903,22.45,2
6,6-1,position2,22.45,32.16999999999845,6
6,6-2,position2,32.169999999998076,43.179999999998074,6
20,20-1,position2,43.179999999995104,51.12999999999511,2
20,20-2,position2,51.12999999999507,60.86999999999507,2
20,20-3,position2,60.86999999999503,70.85,2
2,2-1,position2,70.85,74.21999999999504,2
18,18-1,position2,74.21999999999504,80.58999999999504,6
14,14-1,position2,80.58999999999513,88.42999999999513,2
14,14-2,position2,88.4299999999951,99.3399999999951,2
12,12-1,position2,99.33999999999516,103.70999999999516,6
17,17-1,position3,96.65999999985513,107.02999999985514,5
11,11-1,position3,107.02999999985525,114.71999999985525,5
11,11-2,position3,114.71999999985525,123.15999999985524,5
5,5-1,position3,123.15999999985527,132.68999999985527,5
5,5-2,position3,132.68999999985527,140.57999999985526,5
16,16-1,position4,65.88999999985512,68.95999999985511,4
10,10-1,position4,69.11999999985512,76.87999999985513,4
4,4-1,position4,76.8799999998551,86.6699999998551,4
4,4-2,position4,86.6699999998551,96.57999999985509,4
19,19-1,position5,0.0,5.319999999999936,1
19,19-2,position5,5.319999999999936,13.319999999999936,1
13,13-1,position5,13.319999999987516,19.6,1
13,13-2,position5,19.6,23.11999999998443,1
7,7-1,position5,23.119999999966495,32.339999999966494,1
7,7-2,position5,32.33999999995825,40.25,1
7,7-3,position5,40.25,51.12999999994358,1
1,1-1,position5,51.12999999991446,56.45999999991446,1
1,1-2,position5,56.45999999989493,61.739999999894934,1
1,1-3,position5,61.7399999998551,69.0399999998551,1
